  38508;"ohne Titel";"ubmz-14";"Herstellung";"April 1948";"1948";"1948";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38509;"Schlachtfeld";"ubmz-14";"Herstellung";"August 1948";"1948";"1948";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38510;"Tanz nach dem Krieg";"ubmz-14";"Herstellung";"Februar 1949";"1949";"1949";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38511;"Maskerade";"ubmz-14";"Herstellung";"Februar 1949";"1949";"1949";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38512;"Seiltänzer";"ubmz-14";"Herstellung";"Februar 1949";"1949";"1949";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38513;""Das Mädchen und die Alten"";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"39485
";"Unverzagt, Karl (1915-2007)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38514;""Kreuzaufrichtung"";"ubmz-14";"Herstellung";"1950";"1950";"1950";"0";"";"";"";"39485
";"Unverzagt, Karl (1915-2007)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38515;""Kreuzabnahme"";"ubmz-14";"Herstellung";"1950";"1950";"1950";"0";"";"";"";"39485
";"Unverzagt, Karl (1915-2007)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38516;"ohne Titel";"ubmz-14";"Herstellung";"1950";"1950";"1950";"0";"";"";"";"39485
";"Unverzagt, Karl (1915-2007)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38517;""Johannes der Täufer"";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"39485
";"Unverzagt, Karl (1915-2007)
";"4272
";"Herstellung (durch)
";"0
";"";""
